
> wedding-rsvp@0.0.0 server
> node server/index.js

Server running on http://localhost:3000
MongoDB Connected: 127.0.0.1
Seeding Check Complete.
[2026-03-28T10:42:23.628Z] GET /api/content/groom_family_people
[2026-03-28T10:42:23.631Z] GET /api/content/groom_family_families
[2026-03-28T10:42:23.632Z] GET /api/content/groom_family_links
[2026-03-28T10:42:23.632Z] GET /api/content/moments
[2026-03-28T10:42:23.633Z] GET /api/content/events
[2026-03-28T10:42:23.634Z] GET /api/content/home_data
[2026-03-28T10:42:23.634Z] GET /api/content/gallery
[2026-03-28T10:42:23.635Z] GET /api/content/contact_data
[2026-03-28T10:42:23.635Z] GET /api/content/stories
[2026-03-28T10:42:23.636Z] GET /api/content/family_people
[2026-03-28T10:42:23.637Z] GET /api/content/family_families
[2026-03-28T10:42:23.638Z] GET /api/content/family_links
[2026-03-28T10:42:23.639Z] GET /api/content/groom_family_people
[2026-03-28T10:42:23.639Z] GET /api/rsvps
[2026-03-28T10:42:23.639Z] GET /api/content/groom_family_families
[2026-03-28T10:42:23.640Z] GET /api/content/groom_family_links
[2026-03-28T10:42:33.821Z] POST /api/login
[2026-03-28T10:42:33.854Z] GET /api/users
[2026-03-28T10:42:33.855Z] GET /api/guests
[2026-03-28T10:42:33.857Z] GET /api/rsvps
[2026-03-28T10:42:33.861Z] GET /api/users
[2026-03-28T10:42:33.864Z] GET /api/guests
[2026-03-28T10:42:33.868Z] GET /api/rsvps
[2026-03-28T10:42:38.855Z] GET /api/guests
[2026-03-28T10:42:38.856Z] GET /api/users
[2026-03-28T10:42:38.858Z] GET /api/rsvps
[2026-03-28T10:42:43.303Z] POST /api/guests
[2026-03-28T10:42:43.311Z] GET /api/guests
[2026-03-28T10:42:43.312Z] GET /api/users
[2026-03-28T10:42:43.314Z] GET /api/rsvps
[2026-03-28T10:42:43.855Z] GET /api/users
[2026-03-28T10:42:43.856Z] GET /api/guests
[2026-03-28T10:42:43.858Z] GET /api/rsvps
[2026-03-28T10:42:44.587Z] POST /api/users
[2026-03-28T10:42:44.594Z] GET /api/users
[2026-03-28T10:42:44.595Z] GET /api/guests
[2026-03-28T10:42:44.597Z] GET /api/rsvps
[2026-03-28T10:42:47.421Z] DELETE /api/users/user_1774694564588_nbai
[2026-03-28T10:42:47.433Z] GET /api/users
[2026-03-28T10:42:47.434Z] GET /api/guests
[2026-03-28T10:42:47.435Z] GET /api/rsvps
[2026-03-28T10:42:48.858Z] GET /api/users
[2026-03-28T10:42:48.859Z] GET /api/guests
[2026-03-28T10:42:48.861Z] GET /api/rsvps
[2026-03-28T10:42:49.503Z] POST /api/users
[2026-03-28T10:42:49.512Z] GET /api/users
[2026-03-28T10:42:49.513Z] GET /api/guests
[2026-03-28T10:42:49.515Z] GET /api/rsvps
[2026-03-28T10:42:53.637Z] DELETE /api/rsvp/rsvp_1774694202891
[2026-03-28T10:42:53.642Z] GET /api/users
[2026-03-28T10:42:53.642Z] GET /api/guests
[2026-03-28T10:42:53.645Z] GET /api/rsvps
[2026-03-28T10:42:53.854Z] GET /api/users
[2026-03-28T10:42:53.855Z] GET /api/guests
[2026-03-28T10:42:53.857Z] GET /api/rsvps
[2026-03-28T10:42:58.858Z] GET /api/users
[2026-03-28T10:42:58.859Z] GET /api/guests
[2026-03-28T10:42:58.861Z] GET /api/rsvps
[2026-03-28T10:43:01.854Z] DELETE /api/rsvp/rsvp_1774694476108
[2026-03-28T10:43:01.859Z] GET /api/users
